P-state,Threads,Runtime,Throughput,Commits,,,
2,5,0.426034,0,0,,3.017465742,1.285543
2,6,0.496937,0,0,,2.586933555,1.285543
2,7,0.503875,0,0,,2.551313322,1.285543
2,8,0.568751,0,0,,2.26029141,1.285543
2,9,0.667242,0,0,,1.926651799,1.285543
2,10,0.711621,0,0,,1.806499527,1.285543
2,11,0.708598,0,0,,1.814206362,1.285543
2,12,0.740223,0,0,,1.736696914,1.285543
2,13,0.704212,0,0,,1.825505672,1.285543
2,14,0.702008,0,0,,1.831236966,1.285543
2,15,0.815106,0,0,,1.577148248,1.285543
2,16,0.779482,0,0,,1.649227307,1.285543
2,17,0.818702,0,0,,1.570220911,1.285543
2,18,0.841351,0,0,,1.527950879,1.285543
2,19,0.80243,0,0,,1.602062485,1.285543
2,20,0.873772,0,0,,1.471256804,1.285543
3,1,1.307811,0,0,,0.982973075,1.285543
3,2,1.117447,0,0,,1.150428611,1.285543
3,3,0.512995,0,0,,2.505956198,1.285543
3,4,0.417429,0,0,,3.079668638,1.285543
3,5,0.440733,0,0,,2.916829464,1.285543
3,6,0.531896,0,0,,2.416906689,1.285543
3,7,0.528459,0,0,,2.432625804,1.285543
3,8,0.592802,0,0,,2.168587488,1.285543
3,9,0.627672,0,0,,2.048112709,1.285543
3,10,0.697877,0,0,,1.842076756,1.285543
3,11,0.717132,0,0,,1.79261698,1.285543
3,12,0.77531,0,0,,1.658101921,1.285543
3,13,0.723701,0,0,,1.77634548,1.285543
3,14,0.792056,0,0,,1.623045593,1.285543
3,15,0.763093,0,0,,1.684647874,1.285543
3,16,0.81908,0,0,,1.569496264,1.285543
3,17,0.869353,0,0,,1.478735335,1.285543
3,18,0.841374,0,0,,1.527909111,1.285543
3,19,0.818169,0,0,,1.571243838,1.285543
3,20,0.902355,0,0,,1.424653268,1.285543
4,1,1.375738,0,0,,0.934438825,1.285543
4,2,1.134979,0,0,,1.132657961,1.285543
4,3,0.540064,0,0,,2.380353069,1.285543
4,4,0.435544,0,0,,2.951580093,1.285543
4,5,0.456582,0,0,,2.815579677,1.285543
4,6,0.560599,0,0,,2.293159638,1.285543
4,7,0.54624,0,0,,2.35343988,1.285543
4,8,0.61881,0,0,,2.077443803,1.285543
4,9,0.705164,0,0,,1.823041165,1.285543
4,10,0.773602,0,0,,1.661762767,1.285543
4,11,0.76201,0,0,,1.687042165,1.285543
4,12,0.786308,0,0,,1.634910239,1.285543
4,13,0.764279,0,0,,1.682033655,1.285543
4,14,0.813891,0,0,,1.579502661,1.285543
4,15,0.874656,0,0,,1.46976983,1.285543
4,16,0.843151,0,0,,1.524688935,1.285543
4,17,0.892379,0,0,,1.440579619,1.285543
4,18,0.959229,0,0,,1.340183627,1.285543
4,19,0.884088,0,0,,1.454089412,1.285543
4,20,0.885223,0,0,,1.452225033,1.285543
5,1,1.452303,0,0,,0.885175476,1.285543
5,2,1.211732,0,0,,1.060913634,1.285543
5,3,0.571733,0,0,,2.24850236,1.285543
5,4,0.454209,0,0,,2.83028958,1.285543
5,5,0.483814,0,0,,2.657101696,1.285543
5,6,0.573348,0,0,,2.242168805,1.285543
5,7,0.565268,0,0,,2.274218601,1.285543
5,8,0.661663,0,0,,1.942896913,1.285543
5,9,0.726768,0,0,,1.768849206,1.285543
5,10,0.775899,0,0,,1.656843223,1.285543
5,11,0.828489,0,0,,1.551671778,1.285543
5,12,0.844598,0,0,,1.522076775,1.285543
5,13,0.827492,0,0,,1.553541303,1.285543
5,14,0.840391,0,0,,1.529696296,1.285543
5,15,0.856219,0,0,,1.501418446,1.285543
5,16,0.895965,0,0,,1.43481386,1.285543
5,17,0.966903,0,0,,1.329547018,1.285543
5,18,0.961163,0,0,,1.337486982,1.285543
5,19,0.907448,0,0,,1.416657483,1.285543
5,20,1.046168,0,0,,1.228811243,1.285543
6,1,1.537252,0,0,,0.836260418,1.285543
6,2,1.267712,0,0,,1.014065498,1.285543
6,3,0.598583,0,0,,2.147643685,1.285543
6,4,0.484307,0,0,,2.654396901,1.285543
6,5,0.498562,0,0,,2.578501771,1.285543
6,6,0.605949,0,0,,2.121536631,1.285543
6,7,0.610727,0,0,,2.104938868,1.285543
6,8,0.683626,0,0,,1.880477044,1.285543
6,9,0.780593,0,0,,1.64688,1.285543
6,10,0.808157,0,0,,1.590709478,1.285543
6,11,0.887808,0,0,,1.447996639,1.285543
6,12,0.901758,0,0,,1.425596446,1.285543
6,13,0.911016,0,0,,1.411109135,1.285543
6,14,0.90117,0,0,,1.426526626,1.285543
6,15,0.945339,0,0,,1.359875135,1.285543
6,16,0.945223,0,0,,1.360042022,1.285543
6,17,0.937206,0,0,,1.371676024,1.285543
6,18,1.040999,0,0,,1.23491281,1.285543
6,19,0.967247,0,0,,1.329074166,1.285543
6,20,1.020088,0,0,,1.260227549,1.285543
7,1,1.632533,0,0,,0.787452995,1.285543
7,2,1.35794,0,0,,0.946686157,1.285543
7,3,0.633003,0,0,,2.030863993,1.285543
7,4,0.510713,0,0,,2.51715347,1.285543
7,5,0.522312,0,0,,2.461254959,1.285543
7,6,0.644981,0,0,,1.993148635,1.285543
7,7,0.645112,0,0,,1.992743896,1.285543
7,8,0.730431,0,0,,1.759978698,1.285543
