P-state,Threads,Throughput,Power,Steps,Runtime,Commits,Aborts,Energy
6.000000,19.000000,1266962.880185,70.045160,1.000000,6.450767,8194301.000000,123123.600000,451.830557
6.000000,20.000000,1310240.952188,71.223754,1.000000,6.248577,8194300.000000,128554.200000,444.942684
7.000000,1.000000,90133.998932,36.295827,1.000000,90.913080,8194304.000000,0.000000,3299.763184
7.000000,2.000000,138746.548269,38.481342,1.000000,59.059126,8194304.000000,5735.800000,2272.671379
7.000000,3.000000,210331.586611,40.839352,1.000000,38.963206,8194305.000000,13007.800000,1591.206669
7.000000,4.000000,271880.775111,42.760445,1.000000,29.616683,8194304.000000,19635.200000,1266.377031
7.000000,5.000000,345191.211430,44.617483,1.000000,23.638497,8194305.000000,26773.600000,1054.642063
7.000000,6.000000,402476.431555,46.178318,1.000000,20.212584,8194302.000000,32763.400000,933.331034
7.000000,7.000000,465348.903324,47.818056,1.000000,17.609462,8194305.000000,39690.800000,842.038861
7.000000,8.000000,539743.478435,49.674365,1.000000,14.866230,8194304.000000,46814.200000,738.384352
7.000000,9.000000,602518.268479,51.188383,1.000000,13.509057,8194302.000000,53180.600000,691.370544
7.000000,10.000000,662478.776126,52.686506,1.000000,12.248911,8194300.000000,60454.200000,645.284969
7.000000,11.000000,731322.431745,54.623959,1.000000,11.194026,8194307.000000,67153.200000,611.370225
7.000000,12.000000,796511.262729,56.211866,1.000000,10.279902,8194308.000000,74242.800000,577.793796
7.000000,13.000000,844397.404462,57.393581,1.000000,9.710069,8194303.000000,80056.800000,557.136708
7.000000,14.000000,903184.955983,58.896191,1.000000,9.075286,8194298.000000,87698.000000,534.434984
7.000000,15.000000,975298.001707,60.924175,1.000000,8.403321,8194305.000000,94402.400000,511.850826
7.000000,16.000000,1016326.799941,61.975321,1.000000,8.062604,8194304.000000,99799.800000,499.617996
7.000000,17.000000,1073564.528866,63.888567,1.000000,7.628462,8194306.000000,107207.800000,487.222092
7.000000,18.000000,1144018.739465,65.850617,1.000000,7.156938,8194302.000000,116232.400000,471.189870
7.000000,19.000000,1189224.515394,66.787346,1.000000,6.880225,8194301.000000,124681.400000,459.422371
7.000000,20.000000,1239920.131651,67.901813,1.000000,6.602775,8194300.000000,128297.400000,448.277026
8.000000,1.000000,85243.191258,35.527798,1.000000,96.128438,8194304.000000,0.000000,3415.234946
8.000000,2.000000,131778.807426,37.462216,1.000000,61.478357,8194304.000000,5685.000000,2303.102173
8.000000,3.000000,200324.972927,39.181638,1.000000,40.906251,8194305.000000,12880.600000,1602.745824
8.000000,4.000000,254824.832158,40.916502,1.000000,32.156470,8194304.000000,19289.000000,1315.710695
8.000000,5.000000,324420.127230,42.612684,1.000000,25.200276,8194305.000000,26524.600000,1073.784458
8.000000,6.000000,386410.603594,44.350861,1.000000,21.009583,8194302.000000,33121.000000,931.668831
8.000000,7.000000,449481.066500,45.762493,1.000000,18.042272,8194305.000000,40249.800000,825.588695
8.000000,8.000000,512643.525574,47.138885,1.000000,15.768327,8194304.000000,46755.800000,743.212465
8.000000,9.000000,577399.772959,48.557197,1.000000,14.054009,8194302.000000,53585.600000,682.331688
8.000000,10.000000,627110.420821,49.531530,1.000000,13.029524,8194300.000000,60837.800000,645.257882
8.000000,11.000000,692673.549839,51.203534,1.000000,11.742708,8194307.000000,67163.400000,601.204870
8.000000,12.000000,758741.825201,52.714489,1.000000,10.800485,8194308.000000,73898.800000,569.264193
8.000000,13.000000,798190.731638,53.739918,1.000000,10.244273,8194303.000000,81200.200000,550.478132
8.000000,14.000000,860670.222572,55.134743,1.000000,9.522658,8194298.000000,88902.200000,524.963976
8.000000,15.000000,927445.363278,56.645305,1.000000,8.835593,8194305.000000,94709.600000,500.467860
8.000000,16.000000,974419.275558,57.562168,1.000000,8.409859,8194304.000000,100129.000000,483.997064
8.000000,17.000000,1042201.910272,59.362723,1.000000,7.854840,8194306.000000,109894.800000,466.280703
8.000000,18.000000,1066076.305025,60.260495,1.000000,7.679644,8194302.000000,114006.000000,462.701062
8.000000,19.000000,1142918.364693,61.667049,1.000000,7.162448,8194301.000000,121844.200000,441.676873
8.000000,20.000000,1205860.132676,63.376327,1.000000,6.788033,8194300.000000,128955.000000,430.201621
9.000000,1.000000,80239.531806,34.558485,1.000000,102.124132,8194304.000000,0.000000,3529.233726
9.000000,2.000000,125157.460149,36.515570,1.000000,64.175616,8194304.000000,5812.400000,2343.299677
9.000000,3.000000,189377.699973,37.893921,1.000000,43.270522,8194305.000000,13020.400000,1639.697462
9.000000,4.000000,243949.767179,39.136287,1.000000,33.172085,8194304.000000,19659.400000,1298.190854
9.000000,5.000000,308268.214686,41.258091,1.000000,26.445602,8194305.000000,26582.000000,1091.064419
9.000000,6.000000,362109.280870,42.943156,1.000000,22.503859,8194302.000000,33175.200000,966.201372
9.000000,7.000000,422186.829536,44.184743,1.000000,19.404431,8194305.000000,40052.200000,857.368240
9.000000,8.000000,476727.687531,45.550104,1.000000,17.108503,8194304.000000,46421.600000,779.188252
9.000000,9.000000,539888.346846,46.926078,1.000000,15.142243,8194302.000000,53264.200000,710.512183
9.000000,10.000000,606531.752554,48.274985,1.000000,13.421354,8194300.000000,60645.200000,647.911647
9.000000,11.000000,657640.971751,49.212430,1.000000,12.458780,8194307.000000,67739.800000,613.129046
9.000000,12.000000,698652.680896,50.115081,1.000000,11.702666,8194308.000000,74647.000000,586.433277
9.000000,13.000000,766956.400114,51.667245,1.000000,10.686208,8194303.000000,82455.600000,552.055472
9.000000,14.000000,813851.243775,52.718731,1.000000,10.070097,8194298.000000,88588.200000,530.830782
9.000000,15.000000,854128.745888,53.810166,1.000000,9.589123,8194305.000000,95253.000000,515.898105
9.000000,16.000000,909066.063422,55.387615,1.000000,9.014742,8194304.000000,103356.600000,499.251590
9.000000,17.000000,960772.460529,56.338286,1.000000,8.527802,8194306.000000,109502.000000,480.286856
9.000000,18.000000,1029584.082811,57.825049,1.000000,7.951444,8194302.000000,114359.200000,459.757697
9.000000,19.000000,1069410.738883,58.787611,1.000000,7.655840,8194301.000000,125763.200000,450.005953
9.000000,20.000000,1130224.281454,60.175135,1.000000,7.238345,8194300.000000,127502.600000,435.541036
10.000000,1.000000,75004.043202,34.075659,1.000000,109.253558,8194304.000000,0.000000,3722.905057
10.000000,2.000000,116639.955919,35.633682,1.000000,70.253117,8194304.000000,5796.000000,2503.384180
10.000000,3.000000,176147.332326,37.084750,1.000000,46.481372,8194305.000000,12927.400000,1723.727912
10.000000,4.000000,231595.862037,38.533543,1.000000,34.686815,8194304.000000,19615.200000,1336.547751
10.000000,5.000000,287679.702504,39.938626,1.000000,28.352641,8194305.000000,26629.200000,1132.311713
10.000000,6.000000,340555.829033,41.347004,1.000000,23.887214,8194302.000000,33068.400000,987.513939
10.000000,7.000000,394184.978138,42.703555,1.000000,20.737999,8194305.000000,40460.400000,885.572367
10.000000,8.000000,456768.564134,43.994119,1.000000,17.793801,8194304.000000,47173.200000,782.821409
10.000000,9.000000,499759.648776,44.979276,1.000000,16.398435,8194302.000000,53722.600000,737.540312
10.000000,10.000000,554142.358574,46.162401,1.000000,14.759341,8194300.000000,60538.800000,681.262965
10.000000,11.000000,618227.182938,47.699135,1.000000,13.223822,8194307.000000,67500.200000,630.766086
10.000000,12.000000,669846.073565,48.778672,1.000000,12.227476,8194308.000000,74568.600000,596.435216
10.000000,13.000000,712771.593895,49.584214,1.000000,11.498538,8194303.000000,82155.200000,570.070684
10.000000,14.000000,755449.470536,50.572454,1.000000,10.848744,8194298.000000,87960.000000,548.588317
10.000000,15.000000,807442.226486,51.721958,1.000000,10.083762,8194305.000000,95102.800000,521.492452
10.000000,16.000000,869056.611990,52.908637,1.000000,9.430269,8194304.000000,101023.400000,498.862492
10.000000,17.000000,930002.971794,54.563201,1.000000,8.803153,8194306.000000,110017.600000,480.328324
10.000000,18.000000,959251.686970,55.460054,1.000000,8.526890,8194302.000000,115998.800000,472.859434
10.000000,19.000000,1007035.879610,56.544245,1.000000,8.124417,8194301.000000,123343.000000,459.325912
10.000000,20.000000,1050790.609767,57.241272,1.000000,7.789773,8194300.000000,131090.800000,445.851068
11.000000,1.000000,70036.056189,33.479146,1.000000,117.002853,8194304.000000,0.000000,3917.176435
11.000000,2.000000,109523.288593,34.900929,1.000000,74.817428,8194304.000000,5826.200000,2611.196257
11.000000,3.000000,165556.475207,36.218094,1.000000,49.290025,8194305.000000,13089.600000,1785.163203
11.000000,4.000000,214201.724963,37.290252,1.000000,37.614650,8194304.000000,19781.400000,1402.632665
11.000000,5.000000,268734.098296,38.513554,1.000000,30.493433,8194305.000000,26443.400000,1174.397030
11.000000,6.000000,319410.497813,39.629675,1.000000,25.326832,8194302.000000,33364.400000,1003.646039
11.000000,7.000000,370923.326267,41.216066,1.000000,22.082698,8194305.000000,40385.000000,910.111196
11.000000,8.000000,424956.586884,42.710363,1.000000,19.202308,8194304.000000,47088.800000,820.126636
11.000000,9.000000,476572.116551,43.528984,1.000000,17.190082,8194302.000000,53916.800000,748.303248
11.000000,10.000000,524025.886014,44.992421,1.000000,15.601312,8194300.000000,60348.200000,701.906504
11.000000,11.000000,565292.168394,45.601274,1.000000,14.475928,8194307.000000,67598.800000,660.071931
11.000000,12.000000,609662.959357,46.539521,1.000000,13.440756,8194308.000000,73907.800000,625.462778
11.000000,13.000000,667029.615505,47.703777,1.000000,12.285036,8194303.000000,80548.400000,586.038636
11.000000,14.000000,712793.840279,48.680439,1.000000,11.495898,8194298.000000,87927.400000,559.599617
11.000000,15.000000,757318.555640,49.490176,1.000000,10.821613,8194305.000000,97507.200000,535.533224
11.000000,16.000000,806378.802458,50.581880,1.000000,10.159533,8194304.000000,100967.600000,513.891055
11.000000,17.000000,859352.504728,52.047019,1.000000,9.528846,8194306.000000,109322.200000,495.912414
11.000000,18.000000,926242.672065,53.692068,1.000000,8.839135,8194302.000000,117458.600000,474.583111
11.000000,19.000000,960500.982658,54.609767,1.000000,8.522095,8194301.000000,122710.600000,465.348735
11.000000,20.000000,1005442.259790,55.578433,1.000000,8.141432,8194300.000000,128951.400000,452.441786
