P-state,Threads,Throughput,Power,Steps,Runtime,Commits,Aborts,Energy
7.000000,8.000000,1336243.669364,46.548579,1.000000,5.740918,22362294.200000,790.200000,267.196850
7.000000,9.000000,1342369.603379,47.419438,1.000000,5.663707,22362299.000000,898.800000,268.567013
7.000000,10.000000,1353338.092048,48.456238,1.000000,5.517107,22362303.400000,986.200000,267.327184
7.000000,11.000000,1344813.252657,49.425425,1.000000,5.608735,22362302.600000,1124.400000,277.236668
7.000000,12.000000,1342611.818924,50.133989,1.000000,5.637070,22362305.000000,1226.000000,282.586105
7.000000,13.000000,1347098.248362,51.256247,1.000000,5.582579,22362303.800000,1330.400000,286.118689
7.000000,14.000000,1351530.507300,52.560697,1.000000,5.535398,22362309.800000,1453.800000,290.938476
7.000000,15.000000,1360609.015154,53.256916,1.000000,5.426066,22362312.600000,1590.000000,289.016496
7.000000,16.000000,1355551.034232,54.521759,1.000000,5.499664,22362317.000000,1690.000000,299.835279
7.000000,17.000000,1358423.542404,55.135571,1.000000,5.453934,22362317.000000,1821.800000,300.721410
7.000000,18.000000,1355410.647576,56.877717,1.000000,5.488400,22362315.800000,1956.200000,312.218732
7.000000,19.000000,1350471.696562,57.298444,1.000000,5.549913,22362318.200000,2004.400000,317.992412
7.000000,20.000000,1361943.085398,58.174057,1.000000,5.390383,22362321.000000,2057.600000,313.598257
8.000000,1.000000,888651.144011,35.459517,1.000000,13.458603,22362279.000000,0.000000,477.238793
8.000000,2.000000,985578.673149,37.092069,1.000000,10.968829,22362281.400000,82.800000,406.856966
8.000000,3.000000,1142531.721904,38.413970,1.000000,7.856792,22362284.200000,196.600000,301.811825
8.000000,4.000000,1199214.419396,39.409485,1.000000,6.944529,22362285.400000,300.000000,273.682551
8.000000,5.000000,1220880.469230,41.038478,1.000000,6.609177,22362288.600000,437.800000,271.189821
8.000000,6.000000,1232088.478664,41.902214,1.000000,6.440810,22362291.000000,546.800000,269.885393
8.000000,7.000000,1249467.404425,43.073731,1.000000,6.183727,22362291.000000,657.200000,266.363844
8.000000,8.000000,1251476.236296,44.190452,1.000000,6.154123,22362293.400000,789.000000,271.942993
8.000000,9.000000,1253116.621639,44.794452,1.000000,6.146956,22362298.600000,901.600000,275.365055
8.000000,10.000000,1277394.590006,45.954325,1.000000,5.794748,22362300.200000,1007.000000,266.241470
8.000000,11.000000,1262551.948817,46.643768,1.000000,6.002468,22362303.400000,1138.800000,279.981596
8.000000,12.000000,1269281.245513,47.330166,1.000000,5.904054,22362305.400000,1215.000000,279.421636
8.000000,13.000000,1266344.142006,48.111276,1.000000,5.930993,22362306.200000,1293.800000,285.355776
8.000000,14.000000,1283324.296185,49.017574,1.000000,5.712062,22362305.400000,1493.200000,279.983402
8.000000,15.000000,1271866.131228,49.632934,1.000000,5.771263,22362312.600000,1555.200000,286.445983
8.000000,16.000000,1267815.212970,50.463298,1.000000,5.907584,22362318.200000,1671.800000,298.129571
8.000000,17.000000,1285006.707153,51.324888,1.000000,5.697848,22362317.000000,1768.400000,292.449801
8.000000,18.000000,1281807.595365,52.157045,1.000000,5.727850,22362315.800000,1929.000000,298.795000
8.000000,19.000000,1284332.542276,53.051794,1.000000,5.704562,22362318.600000,2054.000000,302.614740
8.000000,20.000000,1280659.194345,54.097865,1.000000,5.727706,22362319.400000,2184.000000,309.863795
9.000000,1.000000,843448.469513,34.697531,1.000000,14.033609,22362279.000000,0.000000,486.931444
9.000000,2.000000,931432.147730,36.430360,1.000000,11.505461,22362281.000000,78.600000,419.146473
